scenario_id,scenario_label,policy,episode,seed,shock_month,shock_label,pre_shock_rule_40,recovery_month,recovery_time_months,recovered
boardroom,Boardroom Baseline,boardroom,40,40,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.26079332175097,79.0,7.0,True
boardroom,Boardroom Baseline,boardroom,41,41,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-31.27185018919843,,,False
boardroom,Boardroom Baseline,boardroom,41,41,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-43.289934054751996,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,41,41,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-53.986226315273925,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,42,42,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-40.29419220698915,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,42,42,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-49.254042557547045,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,42,42,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-59.71772637047457,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,43,43,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-39.38421978510895,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,43,43,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.02965404773051,57.0,9.0,True
boardroom,Boardroom Baseline,boardroom,43,43,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-49.36977796955536,83.0,11.0,True
boardroom,Boardroom Baseline,boardroom,44,44,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-30.185727988563002,,,False
boardroom,Boardroom Baseline,boardroom,44,44,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-49.92155636091435,52.0,4.0,True
boardroom,Boardroom Baseline,boardroom,44,44,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-65.90819280780883,,,False
boardroom,Boardroom Baseline,boardroom,45,45,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-38.531251140458124,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,45,45,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-33.66506006283066,,,False
boardroom,Boardroom Baseline,boardroom,45,45,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-38.37119368611031,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,46,46,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-42.64090234356094,83.0,59.0,True
boardroom,Boardroom Baseline,boardroom,46,46,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-49.9743183607458,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,46,46,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.45835427921809,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,47,47,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-46.975009830856266,26.0,2.0,True
boardroom,Boardroom Baseline,boardroom,47,47,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-59.22250241255767,51.0,3.0,True
boardroom,Boardroom Baseline,boardroom,47,47,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-73.55324468337481,,,False
boardroom,Boardroom Baseline,boardroom,48,48,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-37.37984745357314,92.0,68.0,True
boardroom,Boardroom Baseline,boardroom,48,48,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-43.151291130768634,54.0,6.0,True
boardroom,Boardroom Baseline,boardroom,48,48,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-45.894808635161425,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,49,49,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-42.52091162688843,26.0,2.0,True
boardroom,Boardroom Baseline,boardroom,49,49,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-50.40727899106133,61.0,13.0,True
boardroom,Boardroom Baseline,boardroom,49,49,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-53.16806025243603,75.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-26.708427946799965,27.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-28.46251816049473,51.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-33.29841118758877,,,False
oracle_v1,Oracle v1,oracle_v1,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-31.27757481253459,26.0,2.0,True
oracle_v1,Oracle v1,oracle_v1,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-30.302460225905964,,,False
oracle_v1,Oracle v1,oracle_v1,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-43.06745534952566,73.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,2,2,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-28.51120118858634,31.0,7.0,True
oracle_v1,Oracle v1,oracle_v1,2,2,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-30.700177618562357,58.0,10.0,True
oracle_v1,Oracle v1,oracle_v1,2,2,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-37.82605664218895,75.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,3,3,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-39.30390120524436,29.0,5.0,True
oracle_v1,Oracle v1,oracle_v1,3,3,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-39.90508881218274,,,False
oracle_v1,Oracle v1,oracle_v1,3,3,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-48.6986591378634,74.0,2.0,True
oracle_v1,Oracle v1,oracle_v1,4,4,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-20.53059219086025,84.0,60.0,True
oracle_v1,Oracle v1,oracle_v1,4,4,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-27.02763090792338,51.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,4,4,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-27.106831801865095,73.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,5,5,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-34.56436416461907,31.0,7.0,True
oracle_v1,Oracle v1,oracle_v1,5,5,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-41.80021564918891,49.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,5,5,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-50.35210939315326,75.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,6,6,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-30.00529890394786,27.0,3.0,True
oracle_v1,Oracle v1,oracle_v1,6,6,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-36.208080161989606,49.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,6,6,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-42.12755721140406,,,False
oracle_v1,Oracle v1,oracle_v1,7,7,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-46.5476023647643,25.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,7,7,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.30265155631916,49.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,7,7,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.68400655980354,78.0,6.0,True
oracle_v1,Oracle v1,oracle_v1,8,8,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-37.257651196328936,25.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,8,8,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-43.03409679215431,50.0,2.0,True
oracle_v1,Oracle v1,oracle_v1,8,8,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-57.549376774415,,,False
oracle_v1,Oracle v1,oracle_v1,9,9,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-48.910114490144665,25.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,9,9,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-49.966477741160226,49.0,1.0,True
oracle_v1,Oracle v1,oracle_v1,9,9,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-58.4589423286316,,,False
oracle_v1,Oracle v1,oracle_v1,10,10,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-40.30056177224435,33.0,9.0,True
oracle_v1,Oracle v1,oracle_v1,10,10,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.79247242635814,55.0,7.0,True
oracle_v1,Oracle v1,oracle_v1,10,10,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.05078507169757,73.0,1.0,True
